uid	iid
0	34059
0	39220
1	6373
1	24885
5	6823
5	5570
5	6927
6	26245
6	28361
6	35989
8	1540
10	41144
10	43665
13	38391
13	25109
13	41558
14	14628
14	8900
14	14571
14	14561
14	14554
14	14490
14	13512
14	14091
14	12686
14	12674
14	12174
14	12073
14	15910
14	11743
14	10609
14	13046
15	1563
15	1552
15	4633
16	13794
16	13833
16	13847
16	13857
16	12183
16	14170
16	14579
16	14581
16	14944
16	15618
16	15764
16	15787
16	15910
16	16199
16	16568
16	16943
16	16944
16	14297
16	12174
16	13792
16	9684
16	9037
16	9565
16	9625
16	12139
16	9685
16	9691
16	9701
16	9824
16	9826
16	9859
16	10702
16	10833
16	10852
16	8584
16	10900
16	10901
16	10974
16	10853
16	11475
16	11476
16	11477
16	11478
16	11481
16	11515
16	11921
16	11931
18	35743
20	6569
20	4491
20	3961
20	681
20	20173
21	3891
21	12345
22	266
22	4980
23	1540
23	1508
23	561
23	17750
25	7439
25	5667
25	14166
26	8501
26	3524
26	14539
28	1207
28	1193
28	36083
28	5478
30	25261
30	27977
31	1540
31	4783
32	8717
32	1230
32	10618
32	12924
32	14307
33	9141
33	7844
33	6340
33	16947
33	1563
34	7890
34	5286
34	548
34	14013
35	21637
35	21139
35	20278
35	20246
35	19062
35	18960
35	18065
35	8784
35	25354
35	17079
35	16994
35	16954
35	16940
35	16772
35	16436
35	16026
35	15099
35	12758
35	12576
35	8882
35	17019
35	25390
36	5520
36	6626
38	430
38	3796
39	21139
39	31080
39	40962
40	41028
40	41196
41	38391
41	41736
41	42275
42	8564
42	15671
42	15645
42	15636
42	14921
42	19236
42	14546
42	16703
42	14516
42	14323
42	14296
42	13864
42	11648
42	14543
43	5044
43	8917
43	8920
43	23823
43	23824
43	4303
44	13221
44	16171
44	17166
44	18771
44	8321
44	21990
45	2406
45	6790
46	42350
48	11556
48	5806
48	14448
49	17178
49	14163
49	13009
49	8331
49	17784
50	9107
50	9108
50	9294
50	9351
50	9358
50	9499
50	9500
50	9501
50	10719
50	8171
51	7840
51	12265
53	37364
55	4783
55	5478
55	5762
55	6839
55	8421
55	37382
55	38061
56	20761
56	8465
58	34547
58	39235
59	31390
59	34688
60	41720
60	41784
60	29019
61	13234
62	7522
62	7521
62	7445
63	19523
63	19481
63	18878
63	18257
63	17881
63	17815
63	17735
63	17666
63	17540
63	20292
63	16620
63	15336
63	15021
63	14892
63	16895
63	14543
63	14434
63	14423
63	14074
63	13233
63	12439
64	38391
64	42125
65	1283
65	10031
66	2916
66	2898
66	110
66	8922
66	4962
69	7546
69	7694
69	7720
69	8012
69	12144
69	12969
69	17097
69	14065
69	7500
70	11664
71	2909
71	1283
71	1043
71	38391
71	33551
71	12345
71	38289
72	8202
72	13939
73	6790
73	4491
73	14543
74	34914
75	9444
75	12752
76	16732
76	25949
77	14333
77	3582
77	25491
78	1540
78	6863
78	7582
78	8038
78	8501
78	12000
78	14361
78	12024
78	12775
78	6506
79	16786
80	11069
80	11062
80	11060
80	1688
80	13597
82	4523
82	1563
82	1299
82	12376
84	16300
84	31468
84	7987
84	1912
86	15091
86	17761
86	29070
86	30471
86	14543
86	32278
86	33509
86	34606
86	39255
88	24208
88	26102
88	27525
89	20570
91	8311
94	23970
94	2977
94	26566
96	2552
98	2111
98	9553
99	14572
99	21078
101	4597
101	12823
101	12444
101	11947
101	8686
101	7132
101	7126
101	14117
101	6696
101	5767
101	5424
101	5094
101	5007
101	4742
101	4713
101	6725
102	21042
102	14411
102	19653
102	18595
102	18594
102	21122
102	17264
102	17231
102	19761
102	16684
102	16632
102	16454
102	16336
102	16113
102	15368
102	16831
103	6793
103	17746
106	2950
106	173
106	12540
108	6708
108	5541
108	1364
108	859
108	14429
109	29423
110	8399
110	6900
