uid	iid
0	7
0	11644
0	15393
0	16560
1	37834
1	37830
1	31398
1	25118
5	20963
5	31060
5	25457
5	34513
5	19805
6	6029
6	19577
6	19699
6	19702
8	28064
8	19699
8	2226
10	43719
10	43712
10	43705
10	43704
13	42312
13	42597
13	42270
13	42207
13	41612
14	19024
14	19709
14	19621
14	19514
14	19489
14	19346
14	19345
14	18964
14	17756
14	18898
14	17967
14	17873
14	17864
14	17815
14	17784
14	20020
14	18938
14	20665
14	23302
14	21173
14	16382
14	39191
14	38426
14	35043
14	34451
14	33123
14	31561
14	30636
14	28535
14	28362
14	28272
14	27356
14	26107
14	23469
14	23354
14	23187
14	22481
14	20922
14	16368
14	14591
14	15943
14	8333
14	8106
14	7528
14	6893
14	6835
15	23775
15	39191
15	34970
15	12060
16	21761
16	21829
16	21838
16	22105
16	22131
16	22179
16	22217
16	22220
16	22290
16	22415
16	22481
16	22803
16	23052
16	23201
16	23309
16	23353
16	24717
16	24722
16	25157
16	24866
16	24897
16	25015
16	25146
16	21404
16	25342
16	23004
16	20970
16	18145
16	20849
16	25474
16	17111
16	17320
16	17476
16	18005
16	18064
16	18282
16	18344
16	18404
16	18507
16	18594
16	18651
16	20967
16	18865
16	18906
16	18922
16	18995
16	19021
16	19283
16	19294
16	19481
16	19858
16	20492
16	20547
16	20731
16	20805
16	18889
16	25595
16	12268
16	26403
16	34907
16	34914
16	34925
16	35327
16	35393
16	35394
16	35547
16	36456
16	37192
16	37444
16	37994
16	38341
16	38495
16	38688
16	38869
16	38875
16	39463
16	39468
16	39487
16	39608
16	39725
16	39920
16	40689
16	40947
16	17088
16	34743
16	32591
16	32513
16	32216
16	26438
16	26662
16	26694
16	26935
16	26945
16	27646
16	27647
16	27648
16	27649
16	27779
16	28148
16	28241
16	25787
16	28494
16	28833
16	29153
16	29915
16	30881
16	31000
16	31063
16	31137
16	31210
16	31211
16	31449
16	31760
16	31771
16	28820
16	17011
16	12126
16	17005
16	4398
16	4400
16	4491
16	4538
16	5072
16	5423
16	5436
16	5716
16	5846
16	5854
16	5869
16	5875
16	5898
16	5900
16	5906
16	5915
16	6309
16	6763
