uid	iid
0	34024
1	15947
5	5549
6	21578
8	1301
10	42992
13	41526
14	6794
14	6790
14	8360
14	6774
14	6600
14	5892
14	5440
14	4744
14	1552
14	1193
14	16034
14	6772
14	8598
14	3666
14	8934
15	39201
16	7283
16	7792
16	7862
16	7866
16	8175
16	4337
16	4249
16	3949
16	3880
16	363
16	409
16	773
16	829
16	869
16	1047
16	1135
16	1320
16	1367
16	17006
16	1542
16	1745
16	8206
16	1746
16	1854
16	1870
16	1871
16	2102
16	2139
16	2247
16	2374
16	2512
16	2527
16	2585
16	3725
16	3821
16	1747
16	8566
16	1368
16	8630
16	12267
16	12269
16	12870
16	13233
16	13234
16	13550
16	13658
18	20697
20	14289
20	14285
20	13628
20	12522
21	4839
22	30075
23	6790
23	5408
23	1700
25	7732
25	7546
26	12166
26	11855
28	1355
28	1250
30	23140
31	14612
32	1178
32	15645
32	3764
32	6434
33	14475
33	14382
33	13596
33	10132
34	7552
34	8027
35	5193
35	5186
35	5173
35	8330
35	5088
35	3806
35	3496
35	2341
35	2156
35	2138
35	1402
35	1365
35	1032
35	843
35	263
35	4491
35	8393
35	8394
35	17916
35	25324
36	498
38	31281
39	20683
40	41209
41	4232
42	4591
42	6775
42	6790
42	6794
42	6829
42	6835
42	6845
42	6846
42	6862
42	6925
42	7770
42	6795
42	8830
43	185
43	2097
43	3579
43	3928
43	3940
43	115
44	1368
44	5239
44	8036
44	8277
44	6835
45	4694
45	4693
46	41638
48	12293
49	17750
49	17694
49	17202
50	438
50	1982
50	3101
50	4980
50	5782
50	6274
50	7109
50	2532
51	3920
53	12040
55	1495
55	3027
55	3119
55	3145
55	3375
55	3580
55	4717
56	8175
58	28359
59	19997
60	42288
61	8075
62	7524
62	7523
63	5629
63	5478
63	11968
63	5440
63	3335
63	2978
63	2599
63	2387
63	1485
63	1193
63	864
63	265
63	258
63	4108
63	12102
63	2376
63	12371
63	12139
63	19621
64	41539
65	25830
66	8917
66	4051
66	3838
69	5402
69	6618
69	6912
69	7394
69	7410
69	7438
69	7460
69	3210
70	6878
71	6985
71	6973
71	6971
71	4586
71	4474
71	4261
72	34009
73	12166
74	22223
75	5228
76	16598
77	2440
77	14448
78	1355
78	1365
78	2110
78	2205
78	2599
78	3596
78	4744
78	5541
79	19653
80	11072
80	11071
80	11070
82	11495
82	8663
82	7769
84	26264
84	26261
84	16366
86	130
86	2916
86	4294
86	4455
86	5230
86	7137
86	7152
86	3678
88	20699
89	17815
91	6835
94	18144
96	927
98	23257
99	14458
101	2409
101	2174
101	1928
101	1751
101	1723
101	1337
101	1320
101	1108
101	917
101	348
101	209
101	4486
101	4515
101	2916
101	4628
101	14253
102	8206
102	8126
102	8106
102	8037
102	7762
102	6162
102	5438
102	3185
102	1551
102	1227
102	1193
102	12826
102	13929
102	8319
102	14557
